#Sensitivity at 5Hz,,,,,,,,,,,,
Piezo(V),FBG(pm),,,,,,,,,,,
,,B-1536678,A-0.758,,,,,,,Piezo FFT,FBG FFT,crest-to-trough
0.75,1536672,-6,-0.008,,,,,,,,,
0.752,1536672,-6,-0.006,,,,,,,,,
0.755,1536673,-5,-0.003,,,,,,,,,
0.757,1536676,-2,-0.001,,,,,,,,,
0.756,1536675,-3,-0.002,,,,,,,,,
0.755,1536675,-3,-0.003,,,,,,,,,
0.758,1536676,-2,0,,,,,,,,,
0.761,1536677,-1,0.003,,,,,,,,,
0.762,1536678,0,0.004,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.76,1536680,2,0.002,,,,,,,,,
0.764,1536680,2,0.006,,,,,,,,,
0.765,1536682,4,0.007,,,,,,,,,
0.764,1536683,5,0.006,,,,,,,,,
0.763,1536683,5,0.005,,,,,,,,,
0.765,1536684,6,0.007,,,,,,,,,
0.768,1536685,7,0.01,,,,,,,,,
0.769,1536685,7,0.011,,,,,,,,,
0.767,1536686,8,0.009,,,,,,,,,
0.767,1536686,8,0.009,,,,,,,,,
0.77,1536688,10,0.012,,,,,,,,,
0.772,1536687,9,0.014,,,,,,,,,
0.772,1536690,12,0.014,,,,,,,,,
0.77,1536688,10,0.012,,,,,,,,,
0.771,1536690,12,0.013,,,,,,,,,
0.773,1536689,11,0.015,,,,,,,,,
0.775,1536691,13,0.017,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.772,1536690,12,0.014,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.775,1536692,14,0.017,,,,,,,,,
0.774,1536691,13,0.016,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.774,1536691,13,0.016,,,,,,,,,
0.775,1536692,14,0.017,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.77,1536691,13,0.012,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.774,1536691,13,0.016,,,,,,,,,
0.773,1536690,12,0.015,,,,,,,,,
0.77,1536690,12,0.012,,,,,,,,,
0.768,1536689,11,0.01,,,,,,,,,
0.769,1536689,11,0.011,,,,,,,,,
0.77,1536688,10,0.012,,,,,,,,,
0.769,1536688,10,0.011,,,,,,,,,
0.765,1536686,8,0.007,,,,,,,,,
0.764,1536686,8,0.006,,,,,,,,,
0.767,1536684,6,0.009,,,,,,,,,
0.767,1536684,6,0.009,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.762,1536682,4,0.004,,,,,,,,,
0.761,1536681,3,0.003,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.757,1536676,-2,-0.001,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.752,1536675,-3,-0.006,,,,,,,,,
0.752,1536674,-4,-0.006,,,,,,,,,
0.754,1536673,-5,-0.004,,,,,,,,,
0.754,1536673,-5,-0.004,,,,,,,,,
0.75,1536672,-6,-0.008,,,,,,,,,
0.748,1536671,-7,-0.01,,,,,,,,,
0.748,1536670,-8,-0.01,,,,,,,,,
0.749,1536671,-7,-0.009,,,,,,,,,
0.747,1536670,-8,-0.011,,,,,,,,,
0.745,1536669,-9,-0.013,,,,,,,,,
0.744,1536668,-10,-0.014,,,,,,,,,
0.745,1536668,-10,-0.013,,,,,,,,,
0.746,1536667,-11,-0.012,,,,,,,,,
0.744,1536667,-11,-0.014,,,,,,,,,
0.742,1536665,-13,-0.016,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.744,1536664,-14,-0.014,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.742,1536663,-15,-0.016,,,,,,,,,
0.742,1536663,-15,-0.016,,,,,,,,,
0.745,1536664,-14,-0.013,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.741,1536664,-14,-0.017,,,,,,,,,
0.74,1536663,-15,-0.018,,,,,,,,,
0.743,1536663,-15,-0.015,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.741,1536664,-14,-0.017,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.747,1536666,-12,-0.011,,,,,,,,,
0.746,1536665,-13,-0.012,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.748,1536667,-11,-0.01,,,,,,,,,
0.751,1536668,-10,-0.007,,,,,,,,,
0.75,1536669,-9,-0.008,,,,,,,,,
0.748,1536669,-9,-0.01,,,,,,,,,
0.748,1536670,-8,-0.01,,,,,,,,,
0.753,1536672,-6,-0.005,,,,,,,,,
0.754,1536673,-5,-0.004,,,,,,,,,
0.752,1536673,-5,-0.006,,,,,,,,,
0.752,1536674,-4,-0.006,,,,,,,,,
0.755,1536674,-4,-0.003,,,,,,,,,
0.759,1536676,-2,0.001,,,,,,,,,
0.758,1536676,-2,0,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.758,1536677,-1,0,,,,,,,,,
0.761,1536678,0,0.003,,,,,,,,,
0.763,1536679,1,0.005,,,,,,,,,
0.762,1536680,2,0.004,,,,,,,,,
0.762,1536680,2,0.004,,,,,,,,,
0.763,1536681,3,0.005,,,,,,,,,
0.767,1536682,4,0.009,,,,,,,,,
0.767,1536684,6,0.009,,,,,,,,,
0.765,1536685,7,0.007,,,,,,,,,
0.765,1536685,7,0.007,,,,,,,,,
0.768,1536686,8,0.01,,,,,,,,,
0.771,1536687,9,0.013,,,,,,,,,
0.769,1536687,9,0.011,,,,,,,,,
0.767,1536687,9,0.009,,,,,,,,,
0.768,1536687,9,0.01,,,,,,,,,
0.772,1536689,11,0.014,,,,,,,,,
0.773,1536690,12,0.015,,,,,,,,,
0.771,1536689,11,0.013,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.772,1536690,12,0.014,,,,,,,,,
0.775,1536691,13,0.017,,,,,,,,,
0.774,1536691,13,0.016,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.775,1536692,14,0.017,,,,,,,,,
0.775,1536692,14,0.017,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.775,1536691,13,0.017,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.77,1536690,12,0.012,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.77,1536690,12,0.012,,,,,,,,,
0.768,1536689,11,0.01,,,,,,,,,
0.767,1536688,10,0.009,,,,,,,,,
0.77,1536688,10,0.012,,,,,,,,,
0.769,1536687,9,0.011,,,,,,,,,
0.766,1536687,9,0.008,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.766,1536684,6,0.008,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.76,1536681,3,0.002,,,,,,,,,
0.76,1536680,2,0.002,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.755,1536678,0,-0.003,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.753,1536675,-3,-0.005,,,,,,,,,
0.75,1536673,-5,-0.008,,,,,,,,,
0.751,1536673,-5,-0.007,,,,,,,,,
0.752,1536673,-5,-0.006,,,,,,,,,
0.751,1536672,-6,-0.007,,,,,,,,,
0.748,1536670,-8,-0.01,,,,,,,,,
0.746,1536670,-8,-0.012,,,,,,,,,
0.748,1536670,-8,-0.01,,,,,,,,,
0.748,1536669,-9,-0.01,,,,,,,,,
0.747,1536669,-9,-0.011,,,,,,,,,
0.743,1536668,-10,-0.015,,,,,,,,,
0.743,1536667,-11,-0.015,,,,,,,,,
0.745,1536666,-12,-0.013,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.742,1536665,-13,-0.016,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.743,1536664,-14,-0.015,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.743,1536664,-14,-0.015,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.741,1536664,-14,-0.017,,,,,,,,,
0.744,1536663,-15,-0.014,,,,,,,,,
0.744,1536664,-14,-0.014,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.741,1536664,-14,-0.017,,,,,,,,,
0.742,1536663,-15,-0.016,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.744,1536664,-14,-0.014,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.746,1536665,-13,-0.012,,,,,,,,,
0.748,1536666,-12,-0.01,,,,,,,,,
0.747,1536667,-11,-0.011,,,,,,,,,
0.746,1536668,-10,-0.012,,,,,,,,,
0.747,1536668,-10,-0.011,,,,,,,,,
0.75,1536669,-9,-0.008,,,,,,,,,
0.751,1536669,-9,-0.007,,,,,,,,,
0.75,1536671,-7,-0.008,,,,,,,,,
0.749,1536670,-8,-0.009,,,,,,,,,
0.752,1536672,-6,-0.006,,,,,,,,,
0.754,1536673,-5,-0.004,,,,,,,,,
0.755,1536673,-5,-0.003,,,,,,,,,
0.754,1536673,-5,-0.004,,,,,,,,,
0.755,1536675,-3,-0.003,,,,,,,,,
0.758,1536676,-2,0,,,,,,,,,
0.76,1536676,-2,0.002,,,,,,,,,
0.759,1536678,0,0.001,,,,,,,,,
0.759,1536679,1,0.001,,,,,,,,,
0.76,1536680,2,0.002,,,,,,,,,
0.763,1536681,3,0.005,,,,,,,,,
0.763,1536681,3,0.005,,,,,,,,,
0.763,1536682,4,0.005,,,,,,,,,
0.763,1536683,5,0.005,,,,,,,,,
0.766,1536684,6,0.008,,,,,,,,,
0.768,1536684,6,0.01,,,,,,,,,
0.768,1536685,7,0.01,,,,,,,,,
0.766,1536684,6,0.008,,,,,,,,,
0.767,1536686,8,0.009,,,,,,,,,
0.771,1536687,9,0.013,,,,,,,,,
0.772,1536687,9,0.014,,,,,,,,,
0.771,1536687,9,0.013,,,,,,,,,
0.77,1536689,11,0.012,,,,,,,,,
0.771,1536690,12,0.013,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.77,1536691,13,0.012,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.775,1536691,13,0.017,,,,,,,,,
0.775,1536691,13,0.017,,,,,,,,,
0.773,1536692,14,0.015,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.773,1536692,14,0.015,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.769,1536691,13,0.011,,,,,,,,,
0.769,1536690,12,0.011,,,,,,,,,
0.77,1536690,12,0.012,,,,,,,,,
0.77,1536688,10,0.012,,,,,,,,,
0.769,1536689,11,0.011,,,,,,,,,
0.766,1536687,9,0.008,,,,,,,,,
0.767,1536687,9,0.009,,,,,,,,,
0.768,1536686,8,0.01,,,,,,,,,
0.767,1536686,8,0.009,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.763,1536682,4,0.005,,,,,,,,,
0.764,1536682,4,0.006,,,,,,,,,
0.762,1536683,5,0.004,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.757,1536681,3,-0.001,,,,,,,,,
0.758,1536679,1,0,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.753,1536676,-2,-0.005,,,,,,,,,
0.752,1536675,-3,-0.006,,,,,,,,,
0.754,1536674,-4,-0.004,,,,,,,,,
0.754,1536673,-5,-0.004,,,,,,,,,
0.752,1536673,-5,-0.006,,,,,,,,,
0.749,1536672,-6,-0.009,,,,,,,,,
0.751,1536672,-6,-0.007,,,,,,,,,
0.75,1536671,-7,-0.008,,,,,,,,,
0.749,1536669,-9,-0.009,,,,,,,,,
0.746,1536669,-9,-0.012,,,,,,,,,
0.745,1536669,-9,-0.013,,,,,,,,,
0.746,1536669,-9,-0.012,,,,,,,,,
0.746,1536667,-11,-0.012,,,,,,,,,
0.745,1536668,-10,-0.013,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.742,1536665,-13,-0.016,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.742,1536663,-15,-0.016,,,,,,,,,
0.743,1536664,-14,-0.015,,,,,,,,,
0.744,1536664,-14,-0.014,,,,,,,,,
0.743,1536664,-14,-0.015,,,,,,,,,
0.742,1536663,-15,-0.016,,,,,,,,,
0.741,1536664,-14,-0.017,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.743,1536664,-14,-0.015,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.743,1536664,-14,-0.015,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.746,1536665,-13,-0.012,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.745,1536666,-12,-0.013,,,,,,,,,
0.747,1536666,-12,-0.011,,,,,,,,,
0.748,1536667,-11,-0.01,,,,,,,,,
0.748,1536669,-9,-0.01,,,,,,,,,
0.747,1536669,-9,-0.011,,,,,,,,,
0.749,1536669,-9,-0.009,,,,,,,,,
0.751,1536670,-8,-0.007,,,,,,,,,
0.752,1536672,-6,-0.006,,,,,,,,,
0.751,1536673,-5,-0.007,,,,,,,,,
0.752,1536673,-5,-0.006,,,,,,,,,
0.754,1536674,-4,-0.004,,,,,,,,,
0.756,1536674,-4,-0.002,,,,,,,,,
0.757,1536675,-3,-0.001,,,,,,,,,
0.756,1536675,-3,-0.002,,,,,,,,,
0.758,1536676,-2,0,,,,,,,,,
0.76,1536677,-1,0.002,,,,,,,,,
0.762,1536678,0,0.004,,,,,,,,,
0.761,1536679,1,0.003,,,,,,,,,
0.761,1536680,2,0.003,,,,,,,,,
0.762,1536681,3,0.004,,,,,,,,,
0.764,1536682,4,0.006,,,,,,,,,
0.765,1536684,6,0.007,,,,,,,,,
0.764,1536682,4,0.006,,,,,,,,,
0.765,1536685,7,0.007,,,,,,,,,
0.767,1536685,7,0.009,,,,,,,,,
0.769,1536685,7,0.011,,,,,,,,,
0.769,1536687,9,0.011,,,,,,,,,
0.768,1536687,9,0.01,,,,,,,,,
0.769,1536687,9,0.011,,,,,,,,,
0.771,1536688,10,0.013,,,,,,,,,
0.772,1536688,10,0.014,,,,,,,,,
0.771,1536689,11,0.013,,,,,,,,,
0.771,1536690,12,0.013,,,,,,,,,
0.771,1536690,12,0.013,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.774,1536691,13,0.016,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.772,1536690,12,0.014,,,,,,,,,
0.771,1536689,11,0.013,,,,,,,,,
0.77,1536690,12,0.012,,,,,,,,,
0.768,1536688,10,0.01,,,,,,,,,
0.768,1536688,10,0.01,,,,,,,,,
0.768,1536687,9,0.01,,,,,,,,,
0.767,1536687,9,0.009,,,,,,,,,
0.765,1536687,9,0.007,,,,,,,,,
0.764,1536685,7,0.006,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.761,1536682,4,0.003,,,,,,,,,
0.761,1536681,3,0.003,,,,,,,,,
0.761,1536680,2,0.003,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.754,1536676,-2,-0.004,,,,,,,,,
0.753,1536674,-4,-0.005,,,,,,,,,
0.751,1536673,-5,-0.007,,,,,,,,,
0.752,1536673,-5,-0.006,,,,,,,,,
0.751,1536672,-6,-0.007,,,,,,,,,
0.749,1536671,-7,-0.009,,,,,,,,,
0.748,1536670,-8,-0.01,,,,,,,,,
0.748,1536669,-9,-0.01,,,,,,,,,
0.748,1536669,-9,-0.01,,,,,,,,,
0.748,1536668,-10,-0.01,,,,,,,,,
0.746,1536669,-9,-0.012,,,,,,,,,
0.744,1536667,-11,-0.014,,,,,,,,,
0.745,1536667,-11,-0.013,,,,,,,,,
0.745,1536666,-12,-0.013,,,,,,,,,
0.744,1536666,-12,-0.014,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.741,1536665,-13,-0.017,,,,,,,,,
0.744,1536664,-14,-0.014,,,,,,,,,
0.743,1536664,-14,-0.015,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.741,1536663,-15,-0.017,,,,,,,,,
0.743,1536663,-15,-0.015,,,,,,,,,
0.744,1536664,-14,-0.014,,,,,,,,,
0.745,1536663,-15,-0.013,,,,,,,,,
0.742,1536663,-15,-0.016,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.743,1536663,-15,-0.015,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.746,1536665,-13,-0.012,,,,,,,,,
0.747,1536666,-12,-0.011,,,,,,,,,
0.746,1536666,-12,-0.012,,,,,,,,,
0.745,1536667,-11,-0.013,,,,,,,,,
0.748,1536667,-11,-0.01,,,,,,,,,
0.75,1536669,-9,-0.008,,,,,,,,,
0.75,1536669,-9,-0.008,,,,,,,,,
0.749,1536670,-8,-0.009,,,,,,,,,
0.75,1536671,-7,-0.008,,,,,,,,,
0.752,1536672,-6,-0.006,,,,,,,,,
0.755,1536673,-5,-0.003,,,,,,,,,
0.754,1536673,-5,-0.004,,,,,,,,,
0.754,1536673,-5,-0.004,,,,,,,,,
0.755,1536675,-3,-0.003,,,,,,,,,
0.758,1536676,-2,0,,,,,,,,,
0.759,1536676,-2,0.001,,,,,,,,,
0.758,1536677,-1,0,,,,,,,,,
0.758,1536679,1,0,,,,,,,,,
0.761,1536680,2,0.003,,,,,,,,,
0.763,1536680,2,0.005,,,,,,,,,
0.763,1536681,3,0.005,,,,,,,,,
0.764,1536682,4,0.006,,,,,,,,,
0.764,1536683,5,0.006,,,,,,,,,
0.766,1536684,6,0.008,,,,,,,,,
0.768,1536684,6,0.01,,,,,,,,,
0.766,1536685,7,0.008,,,,,,,,,
0.766,1536686,8,0.008,,,,,,,,,
0.768,1536687,9,0.01,,,,,,,,,
0.77,1536687,9,0.012,,,,,,,,,
0.771,1536687,9,0.013,,,,,,,,,
0.77,1536688,10,0.012,,,,,,,,,
0.769,1536688,10,0.011,,,,,,,,,
0.772,1536689,11,0.014,,,,,,,,,
0.773,1536690,12,0.015,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.771,1536690,12,0.013,,,,,,,,,
0.774,1536691,13,0.016,,,,,,,,,
0.775,1536691,13,0.017,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.772,1536692,14,0.014,,,,,,,,,
0.773,1536692,14,0.015,,,,,,,,,
0.774,1536691,13,0.016,,,,,,,,,
0.774,1536692,14,0.016,,,,,,,,,
0.772,1536692,14,0.014,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.773,1536690,12,0.015,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.769,1536689,11,0.011,,,,,,,,,
0.77,1536689,11,0.012,,,,,,,,,
0.771,1536689,11,0.013,,,,,,,,,
0.771,1536688,10,0.013,,,,,,,,,
0.768,1536688,10,0.01,,,,,,,,,
0.766,1536687,9,0.008,,,,,,,,,
0.767,1536687,9,0.009,,,,,,,,,
0.768,1536686,8,0.01,,,,,,,,,
0.765,1536685,7,0.007,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.763,1536682,4,0.005,,,,,,,,,
0.76,1536681,3,0.002,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.758,1536679,1,0,,,,,,,,,
0.76,1536679,1,0.002,,,,,,,,,
0.759,1536678,0,0.001,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.753,1536676,-2,-0.005,,,,,,,,,
0.754,1536676,-2,-0.004,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.752,1536675,-3,-0.006,,,,,,,,,
0.749,1536673,-5,-0.009,,,,,,,,,
0.748,1536673,-5,-0.01,,,,,,,,,
0.751,1536672,-6,-0.007,,,,,,,,,
0.75,1536672,-6,-0.008,,,,,,,,,
0.747,1536669,-9,-0.011,,,,,,,,,
0.745,1536668,-10,-0.013,,,,,,,,,
0.746,1536666,-12,-0.012,,,,,,,,,
0.748,1536668,-10,-0.01,,,,,,,,,
0.747,1536668,-10,-0.011,,,,,,,,,
0.744,1536666,-12,-0.014,,,,,,,,,
0.743,1536666,-12,-0.015,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.743,1536667,-11,-0.015,,,,,,,,,
0.74,1536665,-13,-0.018,,,,,,,,,
0.741,1536665,-13,-0.017,,,,,,,,,
0.743,1536664,-14,-0.015,,,,,,,,,
0.744,1536664,-14,-0.014,,,,,,,,,
0.741,1536664,-14,-0.017,,,,,,,,,
0.74,1536662,-16,-0.018,,,,,,,,,
0.743,1536663,-15,-0.015,,,,,,,,,
0.745,1536664,-14,-0.013,,,,,,,,,
0.744,1536664,-14,-0.014,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.742,1536664,-14,-0.016,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.746,1536665,-13,-0.012,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.748,1536667,-11,-0.01,,,,,,,,,
0.749,1536667,-11,-0.009,,,,,,,,,
0.746,1536668,-10,-0.012,,,,,,,,,
0.746,1536668,-10,-0.012,,,,,,,,,
0.75,1536669,-9,-0.008,,,,,,,,,
0.753,1536671,-7,-0.005,,,,,,,,,
0.751,1536670,-8,-0.007,,,,,,,,,
0.75,1536670,-8,-0.008,,,,,,,,,
0.753,1536672,-6,-0.005,,,,,,,,,
0.756,1536673,-5,-0.002,,,,,,,,,
0.758,1536675,-3,0,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.757,1536676,-2,-0.001,,,,,,,,,
0.761,1536678,0,0.003,,,,,,,,,
0.761,1536679,1,0.003,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.76,1536680,2,0.002,,,,,,,,,
0.764,1536681,3,0.006,,,,,,,,,
0.766,1536682,4,0.008,,,,,,,,,
0.764,1536683,5,0.006,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.766,1536684,6,0.008,,,,,,,,,
0.77,1536684,6,0.012,,,,,,,,,
0.77,1536686,8,0.012,,,,,,,,,
0.767,1536687,9,0.009,,,,,,,,,
0.768,1536687,9,0.01,,,,,,,,,
0.77,1536688,10,0.012,,,,,,,,,
0.772,1536689,11,0.014,,,,,,,,,
0.771,1536690,12,0.013,,,,,,,,,
0.77,1536690,12,0.012,,,,,,,,,
0.77,1536690,12,0.012,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.775,1536691,13,0.017,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.773,1536691,13,0.015,,,,,,,,,
0.775,1536692,14,0.017,,,,,,,,,
0.775,1536691,13,0.017,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.771,1536691,13,0.013,,,,,,,,,
0.773,1536692,14,0.015,,,,,,,,,
0.775,1536692,14,0.017,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.77,1536691,13,0.012,,,,,,,,,
0.77,1536691,13,0.012,,,,,,,,,
0.772,1536691,13,0.014,,,,,,,,,
0.773,1536690,12,0.015,,,,,,,,,
0.769,1536689,11,0.011,,,,,,,,,
0.767,1536687,9,0.009,,,,,,,,,
0.769,1536687,9,0.011,,,,,,,,,
0.772,1536688,10,0.014,,,,,,,,,
0.77,1536687,9,0.012,,,,,,,,,
0.765,1536686,8,0.007,,,,,,,,,
0.765,1536686,8,0.007,,,,,,,,,
0.766,1536686,8,0.008,,,,,,,,,
0.767,1536685,7,0.009,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.76,1536682,4,0.002,,,,,,,,,
0.762,1536681,3,0.004,,,,,,,,,
0.761,1536680,2,0.003,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.755,1536678,0,-0.003,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.759,1536677,-1,0.001,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.752,1536675,-3,-0.006,,,,,,,,,
0.751,1536674,-4,-0.007,,,,,,,,,
0.753,1536674,-4,-0.005,,,,,,,,,
0.754,1536674,-4,-0.004,,,,,,,,,
0.75,1536673,-5,-0.008,,,,,,,,,
0.747,1536672,-6,-0.011,,,,,,,,,
0.748,1536671,-7,-0.01,,,,,,,,,
0.75,1536670,-8,-0.008,,,,,,,,,
0.748,1536670,-8,-0.01,,,,,,,,,
0.744,1536669,-9,-0.014,,,,,,,,,
0.743,1536667,-11,-0.015,,,,,,,,,
0.746,1536666,-12,-0.012,,,,,,,,,
0.747,1536666,-12,-0.011,,,,,,,,,
0.746,1536665,-13,-0.012,,,,,,,,,
0.741,1536665,-13,-0.017,,,,,,,,,
0.743,1536665,-13,-0.015,,,,,,,,,
0.744,1536665,-13,-0.014,,,,,,,,,
0.745,1536665,-13,-0.013,,,,,,,,,
0.742,1536665,-13,-0.016,,,,,,,,,
0.74,1536664,-14,-0.018,,,,,,,,,
0.742,1536665,-13,-0.016,,,,,,,,,
